Czêœæ publikacji;Nr i nazwa tablicy;Wyszczególnienie;Rok;Emisja popio³u lotnego [t];Emisja SO2 [t];Emisja Nox [t];Emisja CO [t];Emisja CH4  1) [t];Emisja CO2 [t];Emisja kadmu [kg];Emisja o³owiu [kg];Emisja rtêci [kg]
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Centralny ;2019;1702;50071;43876;24459;754;57086056;25;697;2955
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Centralny ;2020;1599;50771;39231;22499;759;52578480;24;662;2505
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region  Po³udniowy;2019;1300;18784;20801;8689;553;27274220;165;1658;272
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region  Po³udniowy;2020;953;14937;17723;6445;684;24299223;110;1082;251
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Wschodni;2019;1083;9135;9179;2229;846;9870992;4;183;40
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Wschodni;2020;799;8037;8593;2180;879;7985784;3;53;18
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Pó³nocno-Zachodni;2019;871;6067;10606;1207;454;12385386;32;274;346
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Pó³nocno-Zachodni;2020;814;5292;9586;1583;433;11514141;10;56;272
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Po³udniowo-Zachodni;2019;763;7061;11839;1558;195;17236566;13;563;315
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Po³udniowo-Zachodni;2020;658;6778;11816;1593;202;17777850;78;1499;378
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Pó³nocny;2019;299;4529;3617;1256;110;3471505;3;25;7
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Region Pó³nocny;2020;226;3942;3250;1192;78;3291052;3;17;9
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Elektrownie na wêglu  brunatnym;2019;1572;36356;35452;20749;396;44872278;31;227;3141
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Elektrownie na wêglu  brunatnym;2020;1408;36302;30033;19369;367;41406443;10;14;2718
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Elektrownie i elektrociep³ownie na wêglu kamiennym;2019;4076;56851;58929;16672;1402;77752563;204;3088;780
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Elektrownie i elektrociep³ownie na wêglu kamiennym;2020;3255;51332;54326;14147;1499;71053637;203;3203;700
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Elektrociep³ownie gazowe 2);2019;218;1144;2860;1110;64;3218231;4;31;3
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Elektrociep³ownie gazowe 2);2020;218;963;3197;1201;74;3623742;4;32;2
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Elektrownie i elektrociep³ownie na biomasê i biogaz 3);2019;124;186;2424;581;1048;1310147;3;51;3
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Elektrownie i elektrociep³ownie na biomasê i biogaz 3);2020;140;213;2441;542;1094;1206966;10;114;6
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Ogó³em;2019;6018;95648;99918;39397;2912;127324725;242;3400;3934
Czêœæ II. Zanieczyszczenie atmosfery;Tabl. 2. 3 (5) Emisja popio³u lotnego, SO2, NOx, CO2, CO oraz CH4 w energetyce zawodowej;Ogó³em;2020;5049;89757;90199;35492;3035;117446529;227;3368;3432
